cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
10756703000106,regulamento,data/raw/10756703000106/342472_regulamento_regulamento_342472_2022-08-18_2022-08-18.pdf,342472_regulamento_regulamento_342472_2022-08-18_2022-08-18.pdf,2022-08-18,253568
10756703000106,regulamento,data/raw/10756703000106/342473_regulamento_regulamento_342473_2022-08-18_2022-08-18.pdf,342473_regulamento_regulamento_342473_2022-08-18_2022-08-18.pdf,2022-08-18,1257081
10756703000106,regulamento,data/raw/10756703000106/401854_regulamento_regulamento_401854_2023-01-12_2023-01-12.pdf,401854_regulamento_regulamento_401854_2023-01-12_2023-01-12.pdf,2023-01-12,269116
10756703000106,regulamento,data/raw/10756703000106/401855_regulamento_regulamento_401855_2023-01-12_2023-01-12.pdf,401855_regulamento_regulamento_401855_2023-01-12_2023-01-12.pdf,2023-01-12,1258739
10756703000106,regulamento,data/raw/10756703000106/478550_regulamento_regulamento_478550_2023-06-13_2023-06-13.pdf,478550_regulamento_regulamento_478550_2023-06-13_2023-06-13.pdf,2023-06-13,1260326
10756703000106,regulamento,data/raw/10756703000106/594944_regulamento_regulamento_594944_2024-02-01_2024-02-01.pdf,594944_regulamento_regulamento_594944_2024-02-01_2024-02-01.pdf,2024-02-01,228690
10756703000106,regulamento,data/raw/10756703000106/594946_regulamento_regulamento_594946_2024-02-01_2024-02-01.pdf,594946_regulamento_regulamento_594946_2024-02-01_2024-02-01.pdf,2024-02-01,1253450
10756703000106,regulamento,data/raw/10756703000106/607180_regulamento_regulamento_607180_2024-02-16_2024-02-16.pdf,607180_regulamento_regulamento_607180_2024-02-16_2024-02-16.pdf,2024-02-16,1256399
10756703000106,regulamento,data/raw/10756703000106/789668_regulamento_regulamento_789668_2024-11-26_2024-11-26.pdf,789668_regulamento_regulamento_789668_2024-11-26_2024-11-26.pdf,2024-11-26,1109792
11468186000124,regulamento,data/raw/11468186000124/1025235_regulamento_regulamento_1025235_2024-11-27_2024-11-27.pdf,1025235_regulamento_regulamento_1025235_2024-11-27_2024-11-27.pdf,2024-11-27,819458
11468186000124,regulamento,data/raw/11468186000124/1053155_regulamento_regulamento_1053155_2025-12-03_2025-12-03.pdf,1053155_regulamento_regulamento_1053155_2025-12-03_2025-12-03.pdf,2025-12-03,708214
11468186000124,regulamento,data/raw/11468186000124/1130307_regulamento_regulamento_1130307_2026-03-06_2026-03-06.pdf,1130307_regulamento_regulamento_1130307_2026-03-06_2026-03-06.pdf,2026-03-06,112346
11468186000124,regulamento,data/raw/11468186000124/1130308_regulamento_regulamento_1130308_2026-03-06_2026-03-06.pdf,1130308_regulamento_regulamento_1130308_2026-03-06_2026-03-06.pdf,2026-03-06,926764
11468186000124,regulamento,data/raw/11468186000124/136584_regulamento_regulamento_136584_2020-12-28_2020-12-28.pdf,136584_regulamento_regulamento_136584_2020-12-28_2020-12-28.pdf,2020-12-28,1329852
11468186000124,regulamento,data/raw/11468186000124/149888_regulamento_regulamento_149888_2021-02-17_2021-02-17.pdf,149888_regulamento_regulamento_149888_2021-02-17_2021-02-17.pdf,2021-02-17,177233
11468186000124,regulamento,data/raw/11468186000124/216779_regulamento_regulamento_216779_2021-09-16_2021-09-16.pdf,216779_regulamento_regulamento_216779_2021-09-16_2021-09-16.pdf,2021-09-16,322166
11468186000124,regulamento,data/raw/11468186000124/216782_regulamento_regulamento_216782_2021-09-16_2021-09-16.pdf,216782_regulamento_regulamento_216782_2021-09-16_2021-09-16.pdf,2021-09-16,1237338
11468186000124,regulamento,data/raw/11468186000124/308302_regulamento_regulamento_308302_2022-05-17_2022-05-17.pdf,308302_regulamento_regulamento_308302_2022-05-17_2022-05-17.pdf,2022-05-17,1233642
11468186000124,regulamento,data/raw/11468186000124/356172_regulamento_regulamento_356172_2022-09-20_2022-09-20.pdf,356172_regulamento_regulamento_356172_2022-09-20_2022-09-20.pdf,2022-09-20,1211973
11468186000124,regulamento,data/raw/11468186000124/516134_regulamento_regulamento_516134_2023-07-28_2023-07-28.pdf,516134_regulamento_regulamento_516134_2023-07-28_2023-07-28.pdf,2023-07-28,968333
11468186000124,regulamento,data/raw/11468186000124/577061_regulamento_regulamento_577061_2023-12-27_2023-12-27.pdf,577061_regulamento_regulamento_577061_2023-12-27_2023-12-27.pdf,2023-12-27,1231329
