participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
consultora,IV DELIBERAR PELA CONTRATACAO DA SOSU ATIVOS JUDICIAIS LTDA,43471693000103.0,1,42477222.37,0.95,
consultora,GMC,12356944000185.0,1,42255542.21,0.93,"Atividades financeiras, seguros e serviços relacionados"
consultora,SQUID,28699026000199.0,1,39952385.94,0.93,Atividades administrativas e serviços complementares
consultora,CREDISA FOMENTO MERCANTIL LTDA,72538937000126.0,1,37516437.22,0.6,"Atividades financeiras, seguros e serviços relacionados"
consultora,VALE CONSIGNADO LTDA,61651646000123.0,1,31635080.77,0.6,"Atividades financeiras, seguros e serviços relacionados"
consultora,ALPHA VALOREM,3526557000159.0,1,31048959.55,0.93,"Atividades profissionais, científicas e técnicas"
consultora,BETA CONSULTORIA,51902335000136.0,1,30850601.11,0.77,Atividades administrativas e serviços complementares
consultora,GO CORRESPONDENTE BANCARIO,22672498000171.0,1,29348140.75,0.93,Atividades administrativas e serviços complementares
consultora,E A QFLASH TECNOLOGIA LTDA,,1,25813992.72,0.68,
consultora,SINAI BRASIL SERVICOS FINANCEIROS LTDA,43360468000108.0,1,25075817.79,0.95,
consultora,FINNE TECH,51943290000148.0,1,20273803.36,0.84,Informação e comunicação
consultora,II) BWAI CONSULTORIA LTDA,60529163000198.0,1,20273803.36,0.84,
consultora,OSHER INVESTIMENTOS E PARTICIPACOES LTDA,,1,16633472.61,0.68,
consultora,MV PREC,30699551000156.0,1,16413106.61,0.76,Atividades administrativas e serviços complementares
consultora,FINELAD ADVISORY CONSULTORIA FINANCEIRA LTDA,20292172000193.0,1,16200769.31,0.77,
consultora,NERA INVESTIMENTOS LTDA.,27500483000140.0,1,16200769.31,0.77,"Atividades profissionais, científicas e técnicas"
consultora,OUTFIELD CONSULTING LTDA,26610150000100.0,1,16155983.05,0.77,Atividades administrativas e serviços complementares
consultora,MARANATA CONSULTORIA LTDA,54608131000185.0,1,15718410.31,0.93,"Atividades profissionais, científicas e técnicas"
consultora,CITRINO ADVISORY CONSULTORIA E SERVICOS LTDA,34016343000166.0,1,14696068.59,0.93,"Atividades profissionais, científicas e técnicas"
consultora,VERITAS CAPITAL MANAGEMENT,12678380000105.0,1,13095504.95,0.93,"Atividades financeiras, seguros e serviços relacionados"
consultora,AGEMAIS GESTAO EMPRESARIAL,13689715000145.0,1,7499200.82,0.95,"Atividades profissionais, científicas e técnicas"
consultora,ROCAS INCORPORADORA E EMPREENDIMENTOS,47646160000176.0,1,7499200.82,0.95,Construção
consultora,EOS FIN LTDA,45684942000174.0,1,6356026.57,0.95,Informação e comunicação
consultora,I9 APOIO ADMINISTRATIVO LTDA,44658362000140.0,1,5856507.09,0.93,Atividades administrativas e serviços complementares
consultora,TPC CONSULTORIA,52885025000113.0,1,4003186.02,0.93,Atividades administrativas e serviços complementares
